instance_type,region,os,tenancy,pre_install,on_demand_hourly,reserved_one_all_yearly,reserved_one_partial_yearly,reserved_one_partial_hourly,reserved_one_no_hourly
i3.4xlarge,us-west-2,Windows,Dedicated,SQL Server Enterprise,8.109,66668.0,33412.0,3.814,7.678
i3.xlarge,ap-northeast-2,Linux,Dedicated,NA,0.403,2247.0,1146.0,0.131,0.273
r4.16xlarge,ca-central-1,Linux,Dedicated,NA,4.672,24065.0,12278.0,1.402,2.9568
c4.8xlarge,us-west-2,Windows,Shared,SQL Web,3.881,23130.0,11799.0,1.347,3.154
r4.large,ca-central-1,Windows,Shared,SQL Web,0.309,2180.0,1098.0,0.125,0.2554
i2.xlarge,eu-central-1,Windows,Shared,SQL Server Enterprise,2.697,18837.0,9460.0,1.08,2.241
m4.xlarge,eu-west-1,Windows,Dedicated,SQL Std,1.249,8046.0,4105.0,0.469,1.096
c3.8xlarge,us-west-1,SUSE,Dedicated,NA,2.012,11053.0,5392.0,0.672,1.476
c1.medium,ap-southeast-1,RHEL,Shared,NA,0.224,1421.0,443.0,0.115,0.182
r3.2xlarge,sa-east-1,Windows,Dedicated,SQL Server Enterprise,4.907,38117.0,19146.0,2.186,4.542
i3.large,eu-west-1,RHEL,Dedicated,NA,0.249,1581.0,539.0,0.121,0.189
i2.2xlarge,us-gov-west-1,RHEL,Shared,NA,2.176,8600.0,4368.0,0.503,1.148
i2.4xlarge,us-west-2,Windows,Dedicated,SQL Web,4.368,18650.0,7996.0,1.261,2.542
m4.16xlarge,us-gov-west-1,Windows,Dedicated,SQL Std,19.112,150979.0,75756.0,8.648,17.81
m4.large,us-gov-west-1,SUSE,Dedicated,NA,0.2386,1045.0,561.0,0.057,0.1254
m1.small,ap-northeast-1,Linux,Dedicated,NA,0.067,305.0,149.0,0.019,0.04
c3.2xlarge,ap-southeast-2,SUSE,Shared,NA,0.629,3183.0,1602.0,0.188,0.428
m4.2xlarge,sa-east-1,Linux,Dedicated,NA,0.6996,3248.0,1657.0,0.1892,0.3973
m3.2xlarge,us-west-1,Windows,Shared,SQL Server Enterprise,3.984,33198.0,16637.0,1.899,3.871
m4.10xlarge,ap-northeast-2,RHEL,Shared,NA,2.59,13158.0,6132.0,0.83,1.6
r4.16xlarge,ca-central-1,Windows,Shared,SQL Std,25.638,207727.0,104109.0,11.885,23.9228
m1.small,ap-southeast-1,Windows,Dedicated,SQL Web,0.153,843.0,341.0,0.059,0.115
d2.xlarge,ap-south-1,Windows,Shared,SQL Server Enterprise,2.511,18332.0,9202.0,1.05,2.172
m3.2xlarge,us-east-1,Windows,Shared,NA,1.036,5816.0,2339.0,0.411,0.793
c3.4xlarge,ap-northeast-1,Windows,Dedicated,SQL Web,2.383,14533.0,5926.0,1.016,1.981
r4.16xlarge,eu-central-1,Windows,Shared,SQL Web,9.1926,62043.0,31291.0,3.572,7.2966
x1.32xlarge,ap-northeast-1,Windows,Dedicated,SQL Server Enterprise,73.229,569496.0,285742.0,32.619,65.806
r3.8xlarge,ap-northeast-2,RHEL,Dedicated,NA,3.322,18978.0,9102.0,1.169,2.561
m3.medium,eu-west-1,RHEL,Dedicated,NA,0.146,1056.0,232.0,0.096,0.127
d2.xlarge,ap-northeast-2,Linux,Shared,NA,0.844,3880.0,1979.0,0.226,0.529
cr1.8xlarge,ap-northeast-1,SUSE,Dedicated,NA,4.205,15578.0,8398.0,0.856,2.122
i3.8xlarge,ap-northeast-1,SUSE,Shared,NA,3.028,16629.0,8512.0,0.965,2.015
m4.16xlarge,us-west-1,SUSE,Shared,NA,3.844,22542.0,11529.0,1.309,2.7546
c3.large,us-gov-west-1,RHEL,Dedicated,NA,0.204,1282.0,430.0,0.1,0.162
t2.xlarge,ap-northeast-2,SUSE,Shared,NA,0.356,1911.0,1003.0,0.107,0.2163
d2.xlarge,us-west-2,Linux,Shared,NA,0.69,2952.0,1506.0,0.172,0.402
d2.4xlarge,ap-northeast-2,Windows,Dedicated,NA,4.4496,23518.0,11933.0,1.362,3.062
r4.2xlarge,ap-northeast-1,Linux,Dedicated,NA,0.704,3626.0,1850.0,0.211,0.4435
m3.large,ap-southeast-1,Windows,Shared,SQL Std,0.711,3561.0,1452.0,0.249,0.485
c4.xlarge,us-west-1,RHEL,Shared,NA,0.309,1925.0,714.0,0.142,0.23
m2.xlarge,eu-west-1,Windows,Shared,SQL Web,0.445,2373.0,967.0,0.166,0.323
d2.4xlarge,ap-southeast-2,SUSE,Dedicated,NA,3.938,16873.0,8650.0,0.978,2.298
d2.8xlarge,us-west-1,RHEL,Dedicated,NA,6.38,29984.0,14717.0,1.81,4.061
m1.medium,eu-west-1,Windows,Shared,SQL Web,0.237,1135.0,466.0,0.079,0.155
i2.4xlarge,ap-south-1,Windows,Shared,NA,4.603,23500.0,11924.0,1.361,3.06
